country,year,co2,population,gdp,AverageTemperature,gdp_per_capita,co2_per_capita,co2_per_unit_gdp,high_ratio
Mongolia,2013,43.559,2882000,32288256000,2.80775,11203.41985,151.1415684,1349.06636,
South Africa,2013,457.441,53687000,6.28E+11,17.325375,11697.43141,85.20517071,728.4092357,
Libya,2013,56.002,6320000,79982649344,24.314,12655.48249,88.61075949,700.1768566,
Turkmenistan,2013,66.374,5366000,96708812800,18.6135,18022.5145,123.6936265,686.3283508,
China,2013,9796.527,1391883008,1.5E+13,9.295,10776.76781,70.38326457,653.1018,
North Korea,2013,27.015,24930000,43012800512,8.4915,1725.342981,10.83634176,628.0688464,
Estonia,2013,19.698,1319000,31826479104,6.96175,24129.24875,149.3404094,618.9186035,
Ukraine,2013,297.295,45287000,4.99E+11,10.9135,11018.61461,65.64687438,595.7815631,
Kazakhstan,2013,240.136,17026000,4.05E+11,8.93725,23787.14907,141.0407612,592.9283951,
Bahrain,2013,31.187,1315000,53839859712,27.925375,40942.8591,237.1634981,579.2548526,
Barbados,2013,1.438,284000,2767752960,27.251125,9745.609014,50.63380282,519.5550401,
Iran,2013,608.71,76482000,1.23E+12,20.541,16082.21542,79.58866138,494.8861789,
Zimbabwe,2013,11.632,13350000,23742582784,20.71075,1778.470621,8.713108614,489.9214254,
Russia,2013,1618.434,144324992,3.43E+12,-2.263125,23765.80766,112.1381666,471.8466472,
Lesotho,2013,2.422,2029000,5200096256,13.773625,2562.886277,11.93691474,465.7606092,
Uzbekistan,2013,102.655,29933000,2.48E+11,16.18825,8285.170213,34.29492533,413.9314516,
Kyrgyzstan,2013,9.658,5731000,23644280832,6.263125,4125.681527,16.85220729,408.4708716,
Saint Lucia,2013,0.407,178000,998537984,27.4655,5609.763955,22.86516854,407.5959117,
Australia,2013,398.052,23255000,1.01E+12,22.142875,43431.5201,171.1683509,394.1108911,
Syria,2013,35.809,19578000,91728150528,20.021125,4685.266653,18.29042803,390.3817944,
Canada,2013,577.346,35297000,1.48E+12,-1.640666667,41929.90906,163.5680086,390.0986486,
Jamaica,2013,7.946,2859000,20656455680,27.12533333,7225.063197,27.79293459,384.6739307,
Oman,2013,61.121,3765000,1.6E+11,28.194375,42496.67995,162.3399734,382.00625,
Malaysia,2013,234.419,29469000,6.14E+11,26.9735,20835.45421,79.54766025,381.7899023,
Saudi Arabia,2013,540.805,30052000,1.43E+12,27.74075,47584.18741,179.9564089,378.1853147,
Serbia,2013,44.546,8919000,1.18E+11,12.843625,13230.18276,49.94506111,377.5084746,
Bulgaria,2013,42.566,7290000,1.16E+11,13.411875,15912.2085,58.38957476,366.9482759,
Poland,2013,321.273,38158000,9.12E+11,9.257875,23900.62372,84.1954505,352.2730263,
South Korea,2013,591.54,50346000,1.68E+12,13.7605,33369.08593,117.494935,352.1071429,
Iraq,2013,163.677,33157000,4.68E+11,24.2405,14114.66659,49.36423681,349.7371795,
United States,2013,5522.908,316400992,1.61E+13,11.29711111,50884.79621,174.5540671,343.037764,
Belarus,2013,64.462,9424000,1.88E+11,8.2665,19949.06621,68.40195246,342.8829787,
Venezuela,2013,182.85,29781000,5.44E+11,25.912875,18266.6801,61.39820691,336.1213235,
United Arab Emirates,2013,218.132,9198000,6.49E+11,29.370625,70558.81713,237.1515547,336.1047766,
Luxembourg,2013,10.297,543000,30693855232,9.90025,56526.43689,189.6316759,335.4743131,
Cuba,2013,27.748,11283000,83013746688,26.25044444,7357.417946,24.59275016,334.2578923,
Kuwait,2013,94.294,3526000,2.83E+11,27.273375,80260.91889,267.424844,333.1943463,
India,2013,1994.101,1280841984,6.17E+12,25.41325,4817.143783,15.56867299,323.1930308,
Bolivia,2013,18.807,10542000,60914401280,20.640875,5778.258516,17.8400683,308.7447238,
Thailand,2013,284.042,68145000,9.23E+11,27.864875,13544.64744,41.68200161,307.7378115,
Greece,2013,81.723,10741000,2.7E+11,17.1535,25137.32427,76.0850945,302.6777778,
Vietnam,2013,140.439,90753000,4.75E+11,25.232125,5233.986755,15.47486034,295.6610526,
Lebanon,2013,22.196,5913000,75314421760,19.17825,12737.09145,37.53762895,294.711152,
Japan,2013,1315.077,128314000,4.51E+12,12.96475,35148.15219,102.4889724,291.5913525,
Jordan,2013,23.813,8519000,81685250048,21.319125,9588.596085,27.95281136,291.5214189,
Qatar,2013,84.152,2337000,2.93E+11,28.57375,125374.4116,360.0855798,287.2081911,
Slovenia,2013,15.179,2063000,53505286144,11.74475,25935.66948,73.57731459,283.6915956,
