country,year,co2,population,gdp,AverageTemperature
Afghanistan,1950,0.084,7752000.0,19494799360.0,13.0435
Afghanistan,1951,0.092,7840000.0,20063848448.0,13.96775
Afghanistan,1952,0.092,7936000.0,20742350848.0,14.175416666666669
Afghanistan,1953,0.106,8040000.0,22015463424.0,14.650750000000002
Afghanistan,1954,0.106,8151000.0,22483329024.0,13.691333333333333
Afghanistan,1955,0.154,8271000.0,22929889280.0,14.642583333333334
Afghanistan,1956,0.183,8399000.0,23959928832.0,14.191083333333333
Afghanistan,1957,0.293,8535000.0,23961913344.0,12.777166666666666
Afghanistan,1958,0.33,8680000.0,25307435008.0,14.716749999999998
Afghanistan,1959,0.385,8834000.0,26035625984.0,14.152583333333332
Afghanistan,1960,0.414,8997000.0,26970775552.0,13.985416666666667
Afghanistan,1961,0.491,9169000.0,27196444672.0,14.064916666666667
Afghanistan,1962,0.6890000000000001,9351000.0,27669565440.0,13.768666666666666
Afghanistan,1963,0.7070000000000001,9543000.0,28174182400.0,15.033416666666666
Afghanistan,1964,0.8390000000000001,9745000.0,28718712832.0,13.084916666666667
Afghanistan,1965,1.0070000000000001,9956000.0,29364660224.0,14.101833333333333
Afghanistan,1966,1.091,10175000.0,29652846592.0,14.342999999999998
Afghanistan,1967,1.2819999999999998,10400000.0,30483396608.0,13.663250000000003
Afghanistan,1968,1.2229999999999999,10637000.0,31572750336.0,13.762333333333332
Afghanistan,1969,0.941,10894000.0,32077457408.0,13.805083333333336
Afghanistan,1970,1.67,11174000.0,32718391296.0,14.78308333333333
Afghanistan,1971,1.8940000000000001,11475000.0,32637440000.0,14.823500000000001
Afghanistan,1972,1.531,11791000.0,27282794496.0,12.547166666666667
Afghanistan,1973,1.6369999999999998,12109000.0,28063311872.0,14.235500000000002
Afghanistan,1974,1.916,12413000.0,29596028928.0,13.316749999999999
Afghanistan,1975,2.125,12689000.0,31443699712.0,13.548083333333333
Afghanistan,1976,1.984,12943000.0,33149286400.0,13.708583333333332
Afghanistan,1977,2.387,13171000.0,31486078976.0,14.805416666666668
Afghanistan,1978,2.155,13341000.0,33820835840.0,14.329666666666668
Afghanistan,1979,2.235,13411000.0,32947607552.0,14.262083333333335
Afghanistan,1980,1.757,13357000.0,31712751616.0,14.887333333333332
Afghanistan,1981,1.979,13172000.0,32398444544.0,14.860083333333334
Afghanistan,1982,2.096,12883000.0,33068124160.0,13.733083333333335
Afghanistan,1983,2.52,12538000.0,34692370432.0,14.614833333333335
Afghanistan,1984,2.822,12204000.0,35319054336.0,14.245833333333332
Afghanistan,1985,3.502,11938000.0,35424002048.0,14.888749999999996
Afghanistan,1986,3.134,11736000.0,36477153280.0,14.223166666666666
Afghanistan,1987,3.114,11605000.0,32731392000.0,14.983999999999996
Afghanistan,1988,2.8569999999999998,11618000.0,30025320448.0,15.388999999999998
Afghanistan,1989,2.765,11869000.0,27910701056.0,14.125750000000002
Afghanistan,1990,2.602,12412000.0,27027456000.0,14.993333333333332
Afghanistan,1991,2.426,13299000.0,24076392448.0,14.370750000000001
Afghanistan,1992,1.382,14486000.0,24472467456.0,14.056083333333333
Afghanistan,1993,1.334,15817000.0,18363240448.0,14.439249999999996
Afghanistan,1994,1.2819999999999998,17076000.0,14271192064.0,14.75475
Afghanistan,1995,1.2309999999999999,18111000.0,21408944128.0,14.859166666666667
Afghanistan,1996,1.165,18853000.0,20271888384.0,14.426000000000002
Afghanistan,1997,1.084,19357000.0,19232094208.0,14.904000000000002
Afghanistan,1998,1.0290000000000001,19738000.0,18362912768.0,15.1325
Afghanistan,1999,0.81,20171000.0,17476122624.0,15.38875
Afghanistan,2000,0.768,20780000.0,16508834816.0,15.497833333333334
Afghanistan,2001,0.812,21607000.0,15574844416.0,15.778083333333333
Afghanistan,2002,1.064,22601000.0,25676800000.0,15.537666666666668
Afghanistan,2003,1.205,23681000.0,27805560832.0,14.916000000000002
Afghanistan,2004,0.9079999999999999,24727000.0,28447686656.0,15.77091666666667
Afghanistan,2005,1.32,25654000.0,31259645952.0,14.979999999999999
Afghanistan,2006,1.643,26433000.0,34132578304.0,15.595583333333332
Afghanistan,2007,2.2680000000000002,27101000.0,39628988416.0,15.106166666666665
Afghanistan,2008,4.198,27722000.0,40561582080.0,15.216500000000002
Afghanistan,2009,6.76,28395000.0,47539798016.0,15.257749999999996
Afghanistan,2010,8.452,29186000.0,49068883968.0,15.828666666666669
Afghanistan,2011,12.225999999999999,30117000.0,53326336000.0,15.517999999999999
Afghanistan,2012,10.742,31161000.0,59166900224.0,14.481583333333333
Afghanistan,2013,9.037,32270000.0,62993698816.0,16.533625
Albania,1950,0.297,1263000.0,1813506048.0,13.812833333333336
Albania,1951,0.40299999999999997,1287000.0,1933667968.0,13.569833333333333
Albania,1952,0.374,1316000.0,1980952064.0,13.573916666666667
Albania,1953,0.414,1348000.0,2113204992.0,12.58633333333333
Albania,1954,0.502,1383000.0,2237861888.0,12.450083333333334
Albania,1955,0.6629999999999999,1420000.0,2426255872.0,13.148083333333334
Albania,1956,0.8390000000000001,1459000.0,2525274112.0,12.172333333333334
Albania,1957,1.506,1500000.0,2766420992.0,13.078416666666664
Albania,1958,1.202,1543000.0,2978117888.0,13.194500000000003
Albania,1959,1.444,1589000.0,3201698048.0,12.405583333333333
Albania,1960,2.023,1636000.0,3476465920.0,13.335083333333335
Albania,1961,2.279,1686000.0,3620643072.0,13.316749999999999
Albania,1962,2.4619999999999997,1738000.0,3855168000.0,13.06875
Albania,1963,2.081,1791000.0,4106459904.0,13.085833333333332
Albania,1964,2.015,1844000.0,4371151872.0,12.515333333333333
Albania,1965,2.173,1896000.0,4659131904.0,12.378416666666665
Albania,1966,2.55,1948000.0,4960077824.0,13.204583333333337
Albania,1967,2.678,1999000.0,5281408000.0,12.621749999999997
