country,constitutional_form,head_of_state,basis_of_executive_legitimacy
Afghanistan,Republic,Executive,Presidency is independent of legislature
Albania,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Algeria,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Angola,Republic,Executive,Presidency is independent of legislature
Argentina,Republic,Executive,Presidency is independent of legislature
Armenia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Australia,Constitutional Monarchy,Ceremonial,Ministry is subject to parliamentary confidence
Austria,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Azerbaijan,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Bahrain,Constitutional Monarchy,Executive,Monarch personally exercises power in concert with other institutions
Bangladesh,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Barbados,Constitutional Monarchy,Ceremonial,Ministry is subject to parliamentary confidence
Belarus,Republic,Executive,Presidency is independent of legislature
Belgium,Constitutional Monarchy,Ceremonial,Ministry is subject to parliamentary confidence
Benin,Republic,Executive,Presidency is independent of legislature
Bolivia,Republic,Executive,Presidency is independent of legislature
Bosnia and Herzegovina,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Botswana,Republic,Executive,"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
Brazil,Republic,Executive,Presidency is independent of legislature
Bulgaria,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Burkina Faso,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Burundi,Republic,Executive,Presidency is independent of legislature
Cambodia,Constitutional Monarchy,Ceremonial,Ministry is subject to parliamentary confidence
Cameroon,Republic,Executive,Presidency is independent of legislature
Canada,Constitutional Monarchy,Ceremonial,Ministry is subject to parliamentary confidence
Cape Verde,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Central African Republic,Republic,Executive,Presidency is independent of legislature
Chad,Republic,Executive,Presidency is independent of legislature
Chile,Republic,Executive,Presidency is independent of legislature
China,Republic,Ceremonial,Power constitutionally linked to a single political movement[note 1]
Colombia,Republic,Executive,Presidency is independent of legislature
Comoros,Republic,Executive,Presidency is independent of legislature
Costa Rica,Republic,Executive,Presidency is independent of legislature
Cote d'Ivoire,Republic,Executive,Presidency is independent of legislature
Croatia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Cyprus,Republic,Executive,Presidency is independent of legislature
