Code,Name,Signature,Ratification,Kind,DateOfEffect,Emissions,Percentage,Year,ParisAgreement
AFG,Afghanistan,4/22/16,2/15/17,Ratification,3/17/17,19328,0.05,2005,Yes
ALB,Albania,4/22/16,9/21/16,Ratification,11/4/16,6717,0.02,2000,Yes
DZA,Algeria,4/22/16,10/20/16,Ratification,11/19/16,111023,0.3,2000,Yes
AND,Andorra,4/22/16,3/24/17,Ratification,4/23/17,522,0,2011,Yes
AGO,Angola,4/22/16,11/16/20,Ratification,12/16/20,61611,0.17,2005,Yes
ATG,Antigua and Barbuda,4/22/16,9/21/16,Ratification,11/4/16,598,0,2000,Yes
ARG,Argentina,4/22/16,9/21/16,Ratification,11/4/16,332499,0.89,2010,Yes
ARM,Armenia,9/20/16,3/23/17,Ratification,4/22/17,7464,0.02,2010,Yes
AUS,Australia,4/22/16,11/9/16,Ratification,12/9/16,541924,1.46,2013,Yes
AUT,Austria,4/22/16,10/5/16,Ratification,11/4/16,79599,0.21,2013,Yes
AZE,Azerbaijan,4/22/16,1/9/17,Ratification,2/8/17,48209,0.13,2010,Yes
BHS,Bahamas,4/22/16,8/22/16,Ratification,11/4/16,688,0,2000,Yes
BHR,Bahrain,4/22/16,12/23/16,Ratification,1/22/17,22373,0.06,2000,Yes
BGD,Bangladesh,4/22/16,9/21/16,Ratification,11/4/16,99442,0.27,2005,Yes
BRB,Barbados,4/22/16,4/22/16,Ratification,11/4/16,4056,0.01,1997,Yes
BLR,Belarus,4/22/16,9/21/16,Acceptance,11/4/16,89283,0.24,2012,Yes
BEL,Belgium,4/22/16,4/6/17,Ratification,5/6/17,119424,0.32,2013,Yes
BLZ,Belize,4/22/16,4/22/16,Ratification,11/4/16,1133,0,2000,Yes
BEN,Benin,4/22/16,10/31/16,Ratification,11/30/16,6251,0.02,2000,Yes
BTN,Bhutan,4/22/16,9/19/17,Ratification,10/19/17,1556,0,2000,Yes
BOL,Bolivia,4/22/16,10/5/16,Ratification,11/4/16,43665,0.12,2004,Yes
BIH,Bosnia and Herzegovina,4/22/16,3/16/17,Ratification,4/15/17,31095,0.08,2011,Yes
BWA,Botswana,4/22/16,11/11/16,Ratification,12/11/16,6140,0.02,2000,Yes
BRA,Brazil,4/22/16,9/21/16,Ratification,11/4/16,923544,2.48,2010,Yes
BRN,Brunei Darussalam,4/22/16,9/21/16,Ratification,11/4/16,,,,Yes
BGR,Bulgaria,4/22/16,11/29/16,Ratification,12/29/16,55893,0.15,2013,Yes
BFA,Burkina Faso,4/22/16,11/11/16,Ratification,12/11/16,21593,0.06,2007,Yes
BDI,Burundi,4/22/16,1/17/18,Ratification,2/16/18,26474,0.07,2005,Yes
CPV,Cabo Verde,4/22/16,9/21/17,Ratification,10/21/17,448,0,2000,Yes
KHM,Cambodia,4/22/16,2/6/17,Ratification,3/8/17,12763,0.03,1994,Yes
CMR,Cameroon,4/22/16,7/29/16,Ratification,11/4/16,165725,0.45,1994,Yes
CAN,Canada,4/22/16,10/5/16,Ratification,11/4/16,726051,1.95,2013,Yes
CAF,Central African Republic,4/22/16,10/11/16,Ratification,11/10/16,5225,0.01,2010,Yes
TCD,Chad,4/22/16,1/12/17,Ratification,2/11/17,23427,0.06,2000,Yes
CHL,Chile,9/20/16,2/10/17,Ratification,3/12/17,91576,0.25,2010,Yes
CHN,China,4/22/16,9/3/16,Ratification,11/4/16,7465862,20.09,2005,Yes
COL,Colombia,4/22/16,7/12/18,Ratification,8/11/18,153885,0.41,2004,Yes
COM,Comoros,4/22/16,11/23/16,Ratification,12/23/16,551,0,2000,Yes
COG,Congo,4/22/16,4/21/17,Ratification,5/21/17,2065,0.01,2000,Yes
COK,Cook Islands,6/24/16,9/1/16,Ratification,11/4/16,70,0,2006,Yes
CRI,Costa Rica,4/22/16,10/13/16,Ratification,11/12/16,12384,0.03,2010,Yes
CIV,Cote d'Ivoire,4/22/16,10/25/16,Ratification,11/24/16,271198,0.73,2000,Yes
HRV,Croatia,4/22/16,5/24/17,Ratification,6/23/17,24493,0.07,2013,Yes
CUB,Cuba,4/22/16,12/28/16,Ratification,1/27/17,36340,0.1,2002,Yes
CYP,Cyprus,4/22/16,1/4/17,Ratification,2/3/17,8319,0.02,2013,Yes
CZE,Czech Republic,4/22/16,10/5/17,Ratification,11/4/17,127144,0.34,2013,Yes
COD,Democratic Republic of the Congo,4/22/16,12/13/17,Ratification,1/12/18,22434,0.06,2010,Yes
DNK,Denmark,4/22/16,11/1/16,Approval,12/1/16,56001,0.15,2013,Yes
DJI,Djibouti,4/22/16,11/11/16,Ratification,12/11/16,1072,0,2000,Yes
DMA,Dominica,4/22/16,9/21/16,Ratification,11/4/16,182,0,2005,Yes
DOM,Dominican Republic,4/22/16,9/21/17,Ratification,10/21/17,26433,0.07,2000,Yes
ECU,Ecuador,7/26/16,9/20/17,Ratification,10/20/17,247990,0.67,2006,Yes
