Country,CO2,Average_Temperature,Population,GDP,GDP_per_Capita,CO2_per_Capita,CO2_per_Unit_GDP,Government_Rating,Government_Type,Paris_Agreement
Afghanistan,9.02,56.96,34414000.0,62783393792.0,1824.0,2.62,494.42,-1.0,Republic,Yes
Albania,4.61,54.83,2891000.0,33224144896.0,11492.0,15.96,40.14,9.0,Republic,Yes
Algeria,150.7,74.58,39728000.0,513000000000.0,12913.0,37.93,1167.09,2.0,Republic,Yes
Angola,33.98,72.07,27884000.0,148000000000.0,5308.0,12.19,640.18,-2.0,Republic,Yes
Argentina,199.86,58.93,43075000.0,840000000000.0,19501.0,46.4,1024.87,9.0,Republic,Yes
Armenia,4.83,47.4,2926000.0,27930048512.0,9545.0,16.52,50.64,5.0,Republic,Yes
Australia,402.54,72.13,23932000.0,1050000000000.0,43874.0,168.2,917.48,10.0,Constitutional Monarchy,Yes
Austria,66.73,46.71,8679000.0,389000000000.0,44821.0,76.89,148.89,10.0,Republic,Yes
Azerbaijan,37.07,55.63,9623000.0,151000000000.0,15692.0,38.53,236.27,-7.0,Republic,Yes
Bahrain,32.67,83.72,1372000.0,54483828736.0,39711.0,238.13,82.27,-10.0,Constitutional Monarchy,Yes
Bangladesh,72.84,76.79,156256000.0,498000000000.0,3187.0,4.66,2285.32,1.0,Republic,Yes
Belarus,59.29,47.73,9439000.0,185000000000.0,19600.0,62.81,302.51,-7.0,Republic,Yes
Belgium,99.75,51.95,11288000.0,443000000000.0,39245.0,88.37,254.18,8.0,Constitutional Monarchy,Yes
Benin,5.86,82.77,10576000.0,22371309568.0,2115.0,5.54,277.08,7.0,Republic,Yes
Bolivia,19.7,70.62,10870000.0,64471166976.0,5931.0,18.12,332.08,7.0,Republic,Yes
Botswana,5.43,73.14,2121000.0,31387396096.0,14798.0,25.58,36.66,8.0,Republic,Yes
Brazil,495.21,79.09,204472000.0,3180000000000.0,15552.0,24.22,3184.19,8.0,Republic,Yes
Bulgaria,48.1,53.53,7200000.0,124000000000.0,17222.0,66.8,279.26,9.0,Republic,Yes
Burkina Faso,3.3,84.07,18111000.0,28909164544.0,1596.0,1.82,206.61,6.0,Republic,Yes
Burundi,0.39,69.39,10160000.0,7766466048.0,764.0,0.39,51.28,-1.0,Republic,Yes
Cambodia,8.45,82.2,15521000.0,49188130816.0,3169.0,5.44,266.51,2.0,Constitutional Monarchy,Yes
Cameroon,7.74,77.15,23298000.0,64840175616.0,2783.0,3.32,278.25,-4.0,Republic,Yes
Canada,576.76,21.28,36027000.0,1540000000000.0,42746.0,160.09,1349.27,10.0,Constitutional Monarchy,Yes
Cape Verde,0.5,74.31,525000.0,3471468032.0,6612.0,9.43,7.49,10.0,Republic,No
Central African Republic,0.29,77.92,4493000.0,3262159872.0,726.0,0.65,40.36,0.0,Republic,Yes
Chad,0.98,81.78,14111000.0,27763197952.0,1967.0,0.69,49.71,-2.0,Republic,Yes
Chile,81.63,47.88,17969000.0,385000000000.0,21426.0,45.43,380.97,10.0,Republic,Yes
China,9716.47,45.47,1406848000.0,16400000000000.0,11657.0,69.07,83351.18,-7.0,Republic,Yes
Colombia,93.08,77.74,47521000.0,599000000000.0,12605.0,19.59,738.47,7.0,Republic,Yes
Comoros,0.17,78.95,777000.0,1332386048.0,1715.0,2.18,9.86,9.0,Republic,Yes
Costa Rica,7.33,77.46,4848000.0,65397760000.0,13490.0,15.12,54.34,10.0,Republic,Yes
Cote d'Ivoire,9.41,80.56,23226000.0,80903536640.0,3483.0,4.05,270.0,4.0,Republic,Yes
Croatia,17.84,54.1,4233000.0,90623172608.0,21409.0,42.15,83.34,9.0,Republic,Yes
Cuba,29.05,79.9,11325000.0,88467243008.0,7812.0,25.65,371.92,-7.0,,Yes
Cyprus,6.95,67.5,1161000.0,25799387136.0,22222.0,59.83,31.26,10.0,Republic,Yes
Denmark,35.2,48.57,5689000.0,255000000000.0,44823.0,61.88,78.54,10.0,Constitutional Monarchy,Yes
Djibouti,0.61,84.3,914000.0,2697624064.0,2951.0,6.64,20.57,4.0,Republic,Yes
Dominican Republic,23.54,77.13,10282000.0,140000000000.0,13616.0,22.9,172.91,8.0,Republic,Yes
Ecuador,42.62,72.49,16212000.0,173000000000.0,10671.0,26.29,399.41,5.0,Republic,Yes
Egypt,219.3,74.36,92443000.0,1070000000000.0,11575.0,23.72,1894.68,-4.0,Republic,Yes
El Salvador,6.73,76.89,6325000.0,50128982016.0,7926.0,10.65,84.97,8.0,Republic,Yes
Equatorial Guinea,6.02,77.17,1169000.0,26485563392.0,22657.0,51.53,26.59,-6.0,Republic,Yes
Estonia,15.89,45.23,1315000.0,33140150272.0,25202.0,120.84,63.06,9.0,Republic,Yes
Finland,44.12,38.34,5481000.0,208000000000.0,37949.0,80.5,116.27,10.0,Republic,Yes
France,341.11,53.9,64453000.0,2560000000000.0,39719.0,52.92,858.8,9.0,Republic,Yes
Gabon,5.24,77.84,1948000.0,24407074816.0,12529.0,26.91,41.84,3.0,Republic,Yes
Gambia,0.52,82.62,2086000.0,3833664000.0,1838.0,2.51,28.51,-5.0,Republic,Yes
